path,sha256,bytes,n_packets,experiment,arm,implementation,vantage,ground_truth_json,gt_cipher,gt_keylen,gt_mode,gt_pfs,gt_pq,split
exp06r2/exp06r2-f00-rep1.pcap,b468cbcae8a03088f1a640f83b35fbe820760e3e48f4af76e8f88696169f0a59,3556,14,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f00-rep1.groundtruth.json,,,,,,train
exp06r2/exp06r2-f00-rep2.pcap,2f46fdb74acb6c411cdcd3134af47ff04b4be08d880d28b19ca134ce09c1f867,3556,14,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f00-rep2.groundtruth.json,,,,,,train
exp06r2/exp06r2-f00-rep3.pcap,cdc32beba4cb4b788cf9afc9b0ad17c79b3f970da4afa4dbf3508892c59a2941,3556,14,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f00-rep3.groundtruth.json,,,,,,train
exp06r2/exp06r2-f00-rep4.pcap,678e91f57bd96325be0ca8619857e3b0799ba52f4aef4ec87b81c2e1140fe939,3556,14,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f00-rep4.groundtruth.json,,,,,,validation
exp06r2/exp06r2-f00-rep5.pcap,f08e9a9e0f17c2adba26895d3850f4dafa663ef94bb10dc8fc20060bf608a12c,3556,14,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f00-rep5.groundtruth.json,,,,,,locked_test
exp06r2/exp06r2-f01-rep1.pcap,e92b16b9700ca20b76a9be923d82c9c5051ef2207c5eb998c0c8fd01c42fdab3,640,2,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f01-rep1.groundtruth.json,,,,,,train
exp06r2/exp06r2-f01-rep2.pcap,90f162cd34fd48d3e666d3c236f12c673744840addf8eb9fba8e96cfb485558a,640,2,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f01-rep2.groundtruth.json,,,,,,train
exp06r2/exp06r2-f01-rep3.pcap,9ca4a9e596c7690e7ea3799f42b5c3ce3e424728670e961e87f251da83c1e785,640,2,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f01-rep3.groundtruth.json,,,,,,train
exp06r2/exp06r2-f01-rep4.pcap,01566f6096c4c5ff59c054b30b107f6c86199d3ed15b714578465393a8723087,640,2,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f01-rep4.groundtruth.json,,,,,,validation
exp06r2/exp06r2-f01-rep5.pcap,017dbc9f75eba6d3057fa111fb92ac89748ea5c71dc38f75240312a5b19d4549,640,2,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f01-rep5.groundtruth.json,,,,,,locked_test
exp06r2/exp06r2-f02-rep1.pcap,a5b6104be6a0f778b813fa5a25711a6f001bd8623b57e42f5b6705913a3044c2,1776,4,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f02-rep1.groundtruth.json,,,,,,train
exp06r2/exp06r2-f02-rep2.pcap,1b1dbf05dd789a25068c5f16a854e8876181e7fa22f8d4974f91139ad9af431e,1776,4,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f02-rep2.groundtruth.json,,,,,,train
exp06r2/exp06r2-f02-rep3.pcap,cef79923896fadcff28fcf46aa3465b80a963b11c080239831407aa467c1cb3f,1776,4,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f02-rep3.groundtruth.json,,,,,,train
exp06r2/exp06r2-f02-rep4.pcap,b2da9afccd68195800a2bcca2358a645eacf42c4ea84c7d481eba786c6a7e84b,1776,4,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f02-rep4.groundtruth.json,,,,,,validation
exp06r2/exp06r2-f02-rep5.pcap,4365a657db10455a04d32097eb24417fc2089c477e9683e56cb7057266923925,1776,4,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f02-rep5.groundtruth.json,,,,,,locked_test
exp06r2/exp06r2-f03-rep1.pcap,9b6def11566deee7598038300774e1a75ee2635351183721b492c521dc0e1cb4,1776,4,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f03-rep1.groundtruth.json,,,,,,train
exp06r2/exp06r2-f03-rep2.pcap,da5de813b61475aecb6b895c64505c0a3eaa2b62d0befa8beb587f7a184e9883,1776,4,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f03-rep2.groundtruth.json,,,,,,train
exp06r2/exp06r2-f03-rep3.pcap,cbd1e7b3a551d43511248f9cad068dd2385b331261407c9fc22b3d2d14403943,1776,4,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f03-rep3.groundtruth.json,,,,,,train
exp06r2/exp06r2-f03-rep4.pcap,327a314e0389a1261b432ea100924f88b951eef04d6dce1fb1ef17114f887050,1776,4,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f03-rep4.groundtruth.json,,,,,,validation
exp06r2/exp06r2-f03-rep5.pcap,1b72acf8f6c8df5e7b34ecfe7152af83532349ff0c244652d3fa9d311b45a8d5,1776,4,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f03-rep5.groundtruth.json,,,,,,locked_test
exp06r2/exp06r2-f04-rep1.pcap,7dae6fc45a0925bcde02a45ac920c50123240fd34119e30ce33b5685682224b6,1632,4,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f04-rep1.groundtruth.json,,,,,,train
exp06r2/exp06r2-f04-rep2.pcap,046c76cfda4eb1f03942faf49a50bf75ee3104263608c32c3fce897680ae5cc2,1632,4,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f04-rep2.groundtruth.json,,,,,,train
exp06r2/exp06r2-f04-rep3.pcap,6e6ecc8e8cc02afddaf9efff8ba735e5ab0d7fa3404f5954613f8f784f277805,1632,4,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f04-rep3.groundtruth.json,,,,,,train
exp06r2/exp06r2-f04-rep4.pcap,171995b1ea6efdc5f393e54c8801163f415e4a7543c177b4fbc4bd9946d8aa80,1632,4,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f04-rep4.groundtruth.json,,,,,,validation
exp06r2/exp06r2-f04-rep5.pcap,e3ad243c1fb2908188d66f8fb9f98926887ff56f7f1c781a4e17c4223ad3e8f5,1632,4,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f04-rep5.groundtruth.json,,,,,,locked_test
exp06r2/exp06r2-f05-rep1.pcap,4ee254d9e4fe030a6a575e7ba59dc24379a5eeab438262fa2869d64f2fea4b02,4240,16,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f05-rep1.groundtruth.json,,,,,,train
exp06r2/exp06r2-f05-rep2.pcap,8f6c67cdac73b90222d9d058b7c98ded5a93f002ba41edbbd285ea18859ab53a,4240,16,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f05-rep2.groundtruth.json,,,,,,train
exp06r2/exp06r2-f05-rep3.pcap,dbdf9d763740d4ea0cf0f7729dde123a84e44fd72be306779fdcc08abdb508da,4240,16,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f05-rep3.groundtruth.json,,,,,,train
exp06r2/exp06r2-f05-rep4.pcap,ad2bb7aa0099f7a8e1f18f307fdc91bb45e1e75890cb71cc3c1e99f170fbaa94,4240,16,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f05-rep4.groundtruth.json,,,,,,validation
exp06r2/exp06r2-f05-rep5.pcap,ade33aa26e31cbe32877102abb1820e572c1526d3a09d7022a41c1efafc424d7,4240,16,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f05-rep5.groundtruth.json,,,,,,locked_test
exp06r2/exp06r2-f06-rep1.pcap,9da602cb39eb8eead4d0c2bb261b2e5791d2d3bb5de80ba172a884c20912f698,3156,6,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f06-rep1.groundtruth.json,,,,,,train
exp06r2/exp06r2-f06-rep2.pcap,afd7c156ff4a85a5534ca79ee467a01029baa550181322e3c1350040fbb07e98,3156,6,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f06-rep2.groundtruth.json,,,,,,train
exp06r2/exp06r2-f06-rep3.pcap,6ad2f3e2da58c677d02a69b9c60abf4397c03a077a13838995af34d05900914e,3156,6,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f06-rep3.groundtruth.json,,,,,,train
exp06r2/exp06r2-f06-rep4.pcap,ec2e6e0cbfa1c16729f8d8cd8b0b49c39c42c4890fe01c4f44344f9e90fb6df6,3156,6,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f06-rep4.groundtruth.json,,,,,,validation
exp06r2/exp06r2-f06-rep5.pcap,0f806b96ba82f5bf1c3424234f0d4268ed47dcb9162ec49fdaea2340f42d3c6b,3156,6,EXP-06r2-failure-diagnosis,,strongswan-5.9.8,"T0/T1 (router, keyless)",exp06r2-f06-rep5.groundtruth.json,,,,,,locked_test
exp07/e7-cbc128.pcap,9c36d81ede19f910646d3022e5ddefcce9a858007b2d09ebc21fd169f4ceab06,43456,136,EXP-07-libreswan,,libreswan-5.4,"T0/T1 (router, keyless)",e7-cbc128.groundtruth.json,,,,,,locked_test
exp07/e7-cbc256.pcap,a07a5125be8f9d113f989dc79bba144bcfecdf7c962aff1619c4da64657b240a,43456,136,EXP-07-libreswan,,libreswan-5.4,"T0/T1 (router, keyless)",e7-cbc256.groundtruth.json,,,,,,locked_test
exp07/e7-chacha.pcap,8b1c0bac51146a284824bf714de2a96239eccc67feafcf87320d0504a90215d7,41856,136,EXP-07-libreswan,,libreswan-5.4,"T0/T1 (router, keyless)",e7-chacha.groundtruth.json,,,,,,locked_test
exp07/e7-classical.pcap,7fcbd32e7ae859a72899826a274a33c0630de7a0d37ee7f7ebee9b9f0f82ead8,41904,136,EXP-07-libreswan,,libreswan-5.4,"T0/T1 (router, keyless)",e7-classical.groundtruth.json,,,,,,locked_test
exp07/e7-ctr128.pcap,f96a4720b44f91556cb34ca25384a5e31b90fac8c61ece4823d87f4a7f563aa1,41888,136,EXP-07-libreswan,,libreswan-5.4,"T0/T1 (router, keyless)",e7-ctr128.groundtruth.json,,,,,,locked_test
exp07/e7-gcm128.pcap,2fb340b9980433b160a5ebd241489c4b21bec1eeab7c847f8efcdf391cf28e21,41856,136,EXP-07-libreswan,,libreswan-5.4,"T0/T1 (router, keyless)",e7-gcm128.groundtruth.json,,,,,,locked_test
exp07/e7-gcm256.pcap,7b607b0cdfcde4cb3b68bf06e5f41fdf4b2ee82d1da939dd39e63fb2f0b7516a,41856,136,EXP-07-libreswan,,libreswan-5.4,"T0/T1 (router, keyless)",e7-gcm256.groundtruth.json,,,,,,locked_test
exp07/e7-pfs-off.pcap,9300c90e5557b6996e29962d817ff67b857716fac0aa437de3f494b364d2e914,43456,144,EXP-07-libreswan,,libreswan-5.4,"T0/T1 (router, keyless)",e7-pfs-off.groundtruth.json,,,,,,locked_test
exp07/e7-pfs-on.pcap,21292bff6143be7dec4efce558e660b724419714d0219c35bcf28b7dc2733596,44528,144,EXP-07-libreswan,,libreswan-5.4,"T0/T1 (router, keyless)",e7-pfs-on.groundtruth.json,,,,,,locked_test
exp07/e7-pq.pcap,55682b9e2005a3880ea35148f75185494f3a26e68ba3cfd5327071aa747d46cf,44948,142,EXP-07-libreswan,,libreswan-5.4,"T0/T1 (router, keyless)",e7-pq.groundtruth.json,,,,,,locked_test
exp10/obsd-esp-test.pcap,0c9cded057d251f03e315bdc7838b80e170eb75f86a2df240977f77b329ac787,1724,10,EXP-10-openbsd-iked,,strongswan-6.1.0+openbsd-iked-7.9,"T0/T1 (router, keyless)",obsd-esp-test.groundtruth.json,,,,,,excluded
exp10/obsd-vendor.pcap,ccd40cd3a840d38e582d152dee454ce0d8eb0b610e958303fd2cdd656bc98581,3460,8,EXP-10-openbsd-iked,,strongswan-6.1.0+openbsd-iked-7.9,"T0/T1 (router, keyless)",obsd-vendor.groundtruth.json,,,,,,excluded
exploitlab/cve-2026-78135-live.pcap,f08caadd2d28519090c708c0182b1d7fb7148cb596b769d3590e127904792891,1472,4,EXPLOITLAB-live-cve78135,,strongswan-5.9.8,"T0/T1 (router, keyless)",cve-2026-78135-live.groundtruth.json,,,,,,excluded
fail-proposal-mismatch.pcap,991565abc5dd0f3deb9f27f5054415ac0b3a66ff08deaddd2a42343f16eeda0c,45320,144,EXP-06r1-superseded,,strongswan-5.9.8,"T0/T1 (router, keyless)",,,,,,,train
fail-ts-mismatch.pcap,328afc27f4c88d633f7e0bbb5dc55821b4120e4d347197ff5bec9eb3d9aa019c,43648,140,EXP-06r1-superseded,,strongswan-5.9.8,"T0/T1 (router, keyless)",,,,,,,train
pq-downgrade.pcap,e6c0c9b407b82234800be6f4b22d67c5c66644b70d60539bdffdfc0fa62aa9d8,2820,10,EXP-04-pq,pq-downgrade,strongswan-6.1.0,"T0/T1 (router, keyless)",,AES-GCM-16,256,tunnel,False,offered-but-not-used,train
pq-mlkem768-6.1.0.pcap,816b5c3a90f6a811898f749288653d2f6100c092971affc98244927f71bf693e,44730,139,EXP-04-pq,pq-mlkem768,strongswan-6.1.0,"T0/T1 (router, keyless)",pq-mlkem768-6.1.0.groundtruth.json,AES-GCM-16,256,tunnel,False,ML-KEM-768,train
pq-mlkem768-run2.pcap,331165b1976c1b4637e26e6db5fba792165b8184653c93d50e58fcbb89c90583,44730,139,EXP-04-pq,pq-mlkem768,strongswan-6.1.0,"T0/T1 (router, keyless)",pq-mlkem768-run2.groundtruth.json,AES-GCM-16,256,tunnel,False,ML-KEM-768,train
pq-mlkem768.pcap,87b45ab3934c437f0d80d3f268273b5f9083c6ff30cc718b2a26a9a3196eb683,44730,139,EXP-04-pq,pq-mlkem768,strongswan-6.1.0,"T0/T1 (router, keyless)",pq-mlkem768.groundtruth.json,AES-GCM-16,256,tunnel,False,ML-KEM-768,train
rekey-cs-pfs-off-aes256gcm16-run2.pcap,e3beb15b5e2b6a357af19d97619f53bdfad8c3a42732b7ba392a5ed67e06b779,832,4,EXP-03-pfs,cs-pfs-off-aes256gcm16,strongswan-5.9.8,"T0/T1 (router, keyless)",,AES-GCM-16,256,tunnel,False,,train
rekey-cs-pfs-on-aes256gcm16-run2.pcap,78d01f9897bdbc92eb63f9e0a085339b4a390525f740477c9360b6fd781cb6cc,1376,4,EXP-03-pfs,cs-pfs-on-aes256gcm16,strongswan-5.9.8,"T0/T1 (router, keyless)",,AES-GCM-16,256,tunnel,True,,train
synthetic/cve-2026-78135-plaintext-positive.pcap,799818c810779aa467a4368ef7a61bd192c89793c2d91049a931097da1bcb865,952,4,SYNTHETIC-detector-fixture,,strongswan-5.9.8,"T0/T1 (router, keyless)",,,,,,,excluded
tfc-sample.pcap,95c036f99b642ca86edd731f5402037465f4089ccc68ce0098291eeda6decdc2,36744,24,EXP-05-leakage,tfc-sample,strongswan-6.1.0,"T0/T1 (router, keyless)",,AES-GCM-16,256,tunnel,False,,train
